"","Predator","Prey","Pct.m","Pct.m.ci","Pct.fo","Pct.fo.ci","Nstom","Ntows","Meansw"
"2539","Bluefish (Pomatomus saltatrix)","Unidentified fish",22.9298285302538,0.382462427544261,19.9021207177814,3.16071997421939,613,349,2.06992352635578
"2540","Bluefish (Pomatomus saltatrix)","Ammodytes sp",22.798291536408,1.71685179615025,1.63132137030995,1.00282237561052,613,349,2.05804940711462
"2541","Bluefish (Pomatomus saltatrix)","Loligo sp",18.3454140489275,0.548754034157258,12.3980424143556,2.60891120829001,613,349,1.65607885338132
"2542","Bluefish (Pomatomus saltatrix)","Peprilus triacanthus",7.39838944645288,0.310738646680053,5.05709624796085,1.73463337778275,613,349,0.667868072024594
"2543","Bluefish (Pomatomus saltatrix)","Stenotomus chrysops",4.86542059616138,0.271832494979873,2.61011419249592,1.26215448964276,613,349,0.439211682037769
"2544","Bluefish (Pomatomus saltatrix)","Scomber scombrus",2.92192324657856,0.178317366378658,0.65252854812398,0.637388174261776,613,349,0.263768115942029
"2545","Bluefish (Pomatomus saltatrix)","Pleuronectiformes",2.53088857326813,0.175878830378736,0.65252854812398,0.637388174261776,613,349,0.228468599033816
"2546","Bluefish (Pomatomus saltatrix)","Etrumeus teres",2.04935990343821,0.103169334470346,1.63132137030995,1.00282237561052,613,349,0.185
"2547","Bluefish (Pomatomus saltatrix)","Urophycis chuss",1.97470636994046,0.159461660952293,0.32626427406199,0.451440961799914,613,349,0.178260869565217
"2548","Bluefish (Pomatomus saltatrix)","Merluccius bilinearis",1.96266547744082,0.107806663262872,0.978792822185971,0.779355007742805,613,349,0.177173913043478
"2549","Bluefish (Pomatomus saltatrix)","Cephalopoda",1.80339001095775,0.085749395758483,4.07830342577488,1.56575579216813,613,349,0.162795783926219
